RecommendedRank,RecommendedModel,StockCode,Description,ForecastWeek,ProbabilityOfSale,QuantityIfSold,TwoStageExpected,TwoStageHardGate,XGBoostPoisson,NaiveLag1,MovingAverage4,WeeksSinceLastSale
466,XGBoostPoisson,22667,RECIPE BOX RETROSPOT ,2011-12-05/2011-12-11,0.99775785,93.071,92.86232,93.071,70.66193,108.0,79.5,0.0
467,XGBoostPoisson,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,2011-12-05/2011-12-11,0.9977579,80.51243,80.33191,80.51243,70.47151,96.0,70.25,0.0
468,XGBoostPoisson,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,2011-12-05/2011-12-11,0.9958334,78.16043,77.83477,78.16043,70.44497,42.0,102.75,0.0
469,XGBoostPoisson,22537,MAGIC DRAWING SLATE DINOSAUR,2011-12-05/2011-12-11,0.98496246,82.515205,81.27438,82.515205,70.43805,90.0,94.25,0.0
470,XGBoostPoisson,23186,FRENCH STYLE STORAGE JAR CAFE ,2011-12-05/2011-12-11,0.9938196,90.635704,90.07554,90.635704,70.35909,96.0,86.0,0.0
471,XGBoostPoisson,23089,GLASS BON BON JAR,2011-12-05/2011-12-11,0.9958334,103.50131,103.07006,103.50131,70.35624,69.0,90.0,0.0
472,XGBoostPoisson,47559B,TEA TIME OVEN GLOVE,2011-12-05/2011-12-11,0.9938196,76.81595,76.341194,76.81595,70.323074,166.0,78.75,0.0
473,XGBoostPoisson,21670,BLUE SPOT CERAMIC DRAWER KNOB,2011-12-05/2011-12-11,0.98614967,76.86983,75.80515,76.86983,69.9239,45.0,74.25,0.0
474,XGBoostPoisson,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,2011-12-05/2011-12-11,0.99775785,101.934166,101.70561,101.934166,69.78835,124.0,90.0,0.0
475,XGBoostPoisson,22733,3D TRADITIONAL CHRISTMAS STICKERS,2011-12-05/2011-12-11,0.9849624,83.968605,82.70592,83.968605,69.494,34.0,99.0,0.0
476,XGBoostPoisson,21592,RETROSPOT CIGAR BOX MATCHES ,2011-12-05/2011-12-11,0.9886148,67.314674,66.54829,67.314674,69.490166,94.0,114.0,0.0
477,XGBoostPoisson,21874,GIN AND TONIC MUG,2011-12-05/2011-12-11,0.9958334,85.760284,85.402954,85.760284,69.32035,76.0,50.75,0.0
478,XGBoostPoisson,23373,VINTAGE CHRISTMAS PAPER GIFT BAG,2011-12-05/2011-12-11,0.9958333,69.03551,68.747856,69.03551,69.0394,67.0,63.75,0.0
479,XGBoostPoisson,21484,CHICK GREY HOT WATER BOTTLE,2011-12-05/2011-12-11,0.9958333,85.844765,85.487076,85.844765,68.548004,64.0,97.25,0.0
480,XGBoostPoisson,84987,SET OF 36 TEATIME PAPER DOILIES,2011-12-05/2011-12-11,0.9938195,69.72757,69.296616,69.72757,68.17077,54.0,89.75,0.0
481,XGBoostPoisson,21980,PACK OF 12 RED RETROSPOT TISSUES ,2011-12-05/2011-12-11,0.98496246,55.910885,55.07012,55.910885,68.09975,30.0,66.25,0.0
482,XGBoostPoisson,84988,SET OF 72 PINK HEART PAPER DOILIES,2011-12-05/2011-12-11,0.9958333,67.70554,67.42343,67.70554,68.0879,35.0,132.5,0.0
483,XGBoostPoisson,23234,BISCUIT TIN VINTAGE CHRISTMAS,2011-12-05/2011-12-11,0.9977579,91.69691,91.49132,91.69691,68.04408,111.0,75.25,0.0
484,XGBoostPoisson,22997,TRAVEL CARD WALLET UNION JACK,2011-12-05/2011-12-11,0.99381953,87.264336,86.725,87.264336,67.49734,114.0,91.25,0.0
485,XGBoostPoisson,22915,ASSORTED BOTTLE TOP  MAGNETS ,2011-12-05/2011-12-11,0.9736842,98.4754,95.88394,98.4754,67.47545,114.0,69.75,0.0
486,XGBoostPoisson,23331,DECORATIVE WICKER HEART SMALL,2011-12-05/2011-12-11,0.9977579,76.30052,76.12945,76.30052,67.22127,95.0,85.5,0.0
487,XGBoostPoisson,21588,RETROSPOT GIANT TUBE MATCHES,2011-12-05/2011-12-11,0.9695238,71.15784,68.98921,71.15784,67.16616,50.0,76.5,0.0
488,XGBoostPoisson,22047,EMPIRE GIFT WRAP,2011-12-05/2011-12-11,0.8844477,63.345985,56.02621,63.345985,67.09436,25.0,68.75,0.0
489,XGBoostPoisson,23375,50'S CHRISTMAS PAPER GIFT BAG,2011-12-05/2011-12-11,0.9938196,66.55988,66.14851,66.55988,66.800415,48.0,70.25,0.0
490,XGBoostPoisson,22708,WRAP DOLLY GIRL,2011-12-05/2011-12-11,0.9886148,70.59261,69.7889,70.59261,66.66524,50.0,93.75,0.0
491,XGBoostPoisson,23438, RED SPOT GIFT BAG LARGE,2011-12-05/2011-12-11,0.9977578,73.10369,72.93978,73.10369,66.555244,60.0,79.0,0.0
492,XGBoostPoisson,23346,SPACEBOY BEAKER,2011-12-05/2011-12-11,0.992405,45.695057,45.348003,45.695057,66.1726,26.0,72.25,0.0
493,XGBoostPoisson,48187,DOORMAT NEW ENGLAND,2011-12-05/2011-12-11,0.9977578,68.477844,68.3243,68.477844,66.039955,81.0,55.5,0.0
494,XGBoostPoisson,22110,BIRD HOUSE HOT WATER BOTTLE,2011-12-05/2011-12-11,0.98496246,88.3427,87.014244,88.3427,65.935585,124.0,69.5,0.0
495,XGBoostPoisson,23229,VINTAGE DONKEY TAIL GAME ,2011-12-05/2011-12-11,0.99775785,82.18695,82.00268,82.18695,65.82705,54.0,96.0,0.0
496,XGBoostPoisson,22544,MINI JIGSAW SPACEBOY,2011-12-05/2011-12-11,0.9886148,75.68395,74.82227,75.68395,65.65767,60.0,108.5,0.0
497,XGBoostPoisson,22037,ROBOT BIRTHDAY CARD,2011-12-05/2011-12-11,0.9938195,81.98405,81.47734,81.98405,65.47499,70.0,81.5,0.0
498,XGBoostPoisson,21990,MODERN FLORAL STATIONERY SET,2011-12-05/2011-12-11,0.99381953,80.99263,80.49206,80.99263,65.29086,61.0,77.75,0.0
499,XGBoostPoisson,82551,LAUNDRY 15C METAL SIGN,2011-12-05/2011-12-11,0.9938196,75.71877,75.2508,75.71877,65.19373,39.0,116.25,0.0
500,XGBoostPoisson,21671,RED SPOT CERAMIC DRAWER KNOB,2011-12-05/2011-12-11,0.9886148,76.24477,75.3767,76.24477,65.10787,47.0,97.75,0.0
501,XGBoostPoisson,82552,WASHROOM METAL SIGN,2011-12-05/2011-12-11,0.9938196,81.47791,80.97435,81.47791,64.6211,65.0,74.0,0.0
502,XGBoostPoisson,23196,VINTAGE LEAF MAGNETIC NOTEPAD,2011-12-05/2011-12-11,0.99381953,81.01827,80.51754,81.01827,64.598885,73.0,68.0,0.0
503,XGBoostPoisson,22027,TEA PARTY BIRTHDAY CARD,2011-12-05/2011-12-11,0.98496234,66.76243,65.75848,66.76243,64.50048,26.0,112.75,0.0
504,XGBoostPoisson,21034,REX CASH+CARRY JUMBO SHOPPER,2011-12-05/2011-12-11,0.9958334,85.214355,84.8593,85.214355,64.16011,71.0,79.25,0.0
505,XGBoostPoisson,23345, DOLLY GIRL BEAKER,2011-12-05/2011-12-11,0.9958334,60.173332,59.922615,60.173332,63.728848,63.0,42.5,0.0
506,XGBoostPoisson,16054,POPART RECT PENCIL SHARPENER ASST,2011-12-05/2011-12-11,0.8988235,67.88745,61.018837,67.88745,63.703903,108.0,91.0,0.0
507,XGBoostPoisson,21122,SET/10 PINK POLKADOT PARTY CANDLES,2011-12-05/2011-12-11,0.98496234,77.60991,76.44284,77.60991,63.607956,24.0,68.75,0.0
508,XGBoostPoisson,21615,4 LAVENDER BOTANICAL DINNER CANDLES,2011-12-05/2011-12-11,0.9695238,67.35627,65.303505,67.35627,63.59352,87.0,100.0,0.0
509,XGBoostPoisson,23172,REGENCY TEA PLATE PINK,2011-12-05/2011-12-11,0.99583334,78.04588,77.720695,78.04588,63.456635,92.0,54.5,0.0
510,XGBoostPoisson,21507,"ELEPHANT, BIRTHDAY CARD, ",2011-12-05/2011-12-11,0.9849624,63.398987,62.445618,63.398987,63.26901,16.0,88.0,0.0
511,XGBoostPoisson,82581,TOILET METAL SIGN,2011-12-05/2011-12-11,0.9938196,87.68486,87.14293,87.68486,63.086086,114.0,85.5,0.0
512,XGBoostPoisson,22970,LONDON BUS COFFEE MUG,2011-12-05/2011-12-11,0.9958333,88.499535,88.13078,88.499535,62.72485,102.0,67.0,0.0
513,XGBoostPoisson,23267,SET OF 4 SANTA PLACE SETTINGS,2011-12-05/2011-12-11,0.9938195,72.33167,71.88463,72.33167,62.634617,42.0,79.75,0.0
514,XGBoostPoisson,21843,RED RETROSPOT CAKE STAND,2011-12-05/2011-12-11,0.9977579,87.40005,87.20409,87.40005,62.582882,43.0,105.0,0.0
515,XGBoostPoisson,21877,HOME SWEET HOME MUG,2011-12-05/2011-12-11,0.9705305,70.41368,68.33862,70.41368,62.43921,24.0,63.25,0.0
516,XGBoostPoisson,22303,COFFEE MUG APPLES DESIGN,2011-12-05/2011-12-11,0.98496234,58.436676,57.557926,58.436676,62.43665,49.0,50.75,0.0
517,XGBoostPoisson,21068,VINTAGE BILLBOARD LOVE/HATE MUG,2011-12-05/2011-12-11,0.98496246,52.409763,51.62165,52.409763,62.43236,49.0,52.0,0.0
518,XGBoostPoisson,23169,CLASSIC GLASS COOKIE JAR,2011-12-05/2011-12-11,0.9977579,93.60934,93.39946,93.60934,62.231705,93.0,64.25,0.0
519,XGBoostPoisson,84006,MAGIC TREE -PAPER FLOWERS,2011-12-05/2011-12-11,0.9631336,73.327446,70.62412,73.327446,61.799023,99.0,81.0,0.0
520,XGBoostPoisson,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,2011-12-05/2011-12-11,0.9849624,63.42064,62.466946,63.42064,61.095734,50.0,52.75,0.0
521,XGBoostPoisson,22736,RIBBON REEL MAKING SNOWMEN ,2011-12-05/2011-12-11,0.9886148,77.40311,76.52186,77.40311,61.055454,40.0,81.75,0.0
522,XGBoostPoisson,21650,ASSORTED TUTTI FRUTTI BRACELET,2011-12-05/2011-12-11,0.9631337,65.22378,62.819218,65.22378,60.914883,41.0,94.75,0.0
523,XGBoostPoisson,21429,RED GINGHAM ROSE JEWELLERY BOX,2011-12-05/2011-12-11,0.9938195,82.08345,81.57613,82.08345,60.900417,87.0,72.75,0.0
524,XGBoostPoisson,23182,TOILET SIGN OCCUPIED OR VACANT,2011-12-05/2011-12-11,0.9938196,78.545494,78.06005,78.545494,60.89467,55.0,84.0,0.0
525,XGBoostPoisson,23154,SET OF 4 JAM JAR MAGNETS,2011-12-05/2011-12-11,0.99381953,68.83434,68.40891,68.83434,60.78498,28.0,108.0,0.0
526,XGBoostPoisson,23220,REINDEER HEART DECORATION GOLD,2011-12-05/2011-12-11,0.9849624,68.40583,67.377174,68.40583,60.74627,43.0,87.25,0.0
527,XGBoostPoisson,22066,LOVE HEART TRINKET POT,2011-12-05/2011-12-11,0.9705304,74.828674,72.623505,74.828674,60.70269,65.0,89.75,0.0
528,XGBoostPoisson,22631,CIRCUS PARADE LUNCH BOX ,2011-12-05/2011-12-11,0.9861496,62.87381,62.002983,62.87381,60.63257,26.0,81.0,0.0
529,XGBoostPoisson,22491,PACK OF 12 COLOURED PENCILS,2011-12-05/2011-12-11,0.98614967,58.41442,57.605362,58.41442,60.602245,24.0,119.25,0.0
530,XGBoostPoisson,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,2011-12-05/2011-12-11,0.9886148,78.210556,77.320114,78.210556,60.52996,66.0,59.5,0.0
531,XGBoostPoisson,22464,HANGING METAL HEART LANTERN,2011-12-05/2011-12-11,0.9938195,75.99827,75.52856,75.99827,60.496113,85.0,83.25,0.0
532,XGBoostPoisson,23191,BUNDLE OF 3 RETRO NOTE BOOKS,2011-12-05/2011-12-11,0.99381953,81.24346,80.74134,81.24346,60.35991,38.0,69.5,0.0
533,XGBoostPoisson,22598,CHRISTMAS MUSICAL ZINC TREE,2011-12-05/2011-12-11,0.97368425,58.09483,56.56602,58.09483,60.139297,64.0,81.5,0.0
534,XGBoostPoisson,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,2011-12-05/2011-12-11,0.9977579,86.23775,86.044395,86.23775,59.970486,93.0,69.25,0.0
535,XGBoostPoisson,22663,JUMBO BAG DOLLY GIRL DESIGN,2011-12-05/2011-12-11,0.99240506,71.09212,70.55218,71.09212,59.80614,54.0,67.5,0.0
536,XGBoostPoisson,22163,HEART STRING MEMO HOLDER HANGING,2011-12-05/2011-12-11,0.96994424,63.743004,61.82716,63.743004,59.80012,43.0,68.25,0.0
537,XGBoostPoisson,22798,ANTIQUE GLASS DRESSING TABLE POT,2011-12-05/2011-12-11,0.99775785,61.257618,61.12027,61.257618,59.491703,90.0,54.25,0.0
538,XGBoostPoisson,21124,SET/10 BLUE SPOTTY PARTY CANDLES,2011-12-05/2011-12-11,0.9849624,60.000366,59.098106,60.000366,59.467426,28.0,53.75,0.0
539,XGBoostPoisson,21620,SET OF 4 ROSE BOTANICAL CANDLES,2011-12-05/2011-12-11,0.9631336,54.44359,52.436447,54.44359,59.440636,150.0,90.75,0.0
540,XGBoostPoisson,85178,VICTORIAN SEWING KIT,2011-12-05/2011-12-11,0.9849624,57.52852,56.66343,57.52852,59.390915,36.0,104.5,0.0
541,XGBoostPoisson,23426,METAL SIGN DROP YOUR PANTS,2011-12-05/2011-12-11,0.9938196,65.24916,64.845894,65.24916,59.38627,69.0,67.0,0.0
542,XGBoostPoisson,23108,SET OF 10 LED DOLLY LIGHTS,2011-12-05/2011-12-11,0.9977579,80.5327,80.352135,80.5327,59.380096,90.0,80.25,0.0
543,XGBoostPoisson,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,2011-12-05/2011-12-11,0.9977578,85.93517,85.742485,85.93517,59.06483,131.0,76.5,0.0
544,XGBoostPoisson,22381,TOY TIDY PINK POLKADOT,2011-12-05/2011-12-11,0.9924051,77.22481,76.6383,77.22481,58.910637,55.0,48.75,0.0
545,XGBoostPoisson,20711,JUMBO BAG TOYS ,2011-12-05/2011-12-11,0.9886148,66.53643,65.7789,66.53643,58.87514,18.0,96.5,0.0
546,XGBoostPoisson,22819,"BIRTHDAY CARD, RETRO SPOT",2011-12-05/2011-12-11,0.99381953,74.18022,73.721756,74.18022,58.82045,41.0,69.5,0.0
547,XGBoostPoisson,22714,CARD BIRTHDAY COWBOY,2011-12-05/2011-12-11,0.9849624,69.343636,68.30087,69.343636,58.79925,15.0,156.25,0.0
548,XGBoostPoisson,22466,FAIRY TALE COTTAGE NIGHTLIGHT,2011-12-05/2011-12-11,0.9938195,71.03061,70.591606,71.03061,58.777637,96.0,107.25,0.0
549,XGBoostPoisson,23389,SPACEBOY MINI BACKPACK,2011-12-05/2011-12-11,0.9938195,59.606533,59.238132,59.606533,58.5023,27.0,80.5,0.0
550,XGBoostPoisson,22093,MOTORING TISSUE BOX,2011-12-05/2011-12-11,0.97368425,47.252693,46.009205,47.252693,58.317165,26.0,58.0,0.0
551,XGBoostPoisson,21238,RED RETROSPOT CUP,2011-12-05/2011-12-11,0.99583334,76.98379,76.663025,76.98379,58.176407,44.0,54.5,0.0
552,XGBoostPoisson,84012,MAGIC SHEEP WOOL GROWING FROM PAPER,2011-12-05/2011-12-11,0.9631337,60.69936,58.461597,60.69936,58.01897,42.0,88.25,0.0
553,XGBoostPoisson,22653,BUTTON BOX ,2011-12-05/2011-12-11,0.9958334,85.074875,84.7204,85.074875,57.89124,99.0,84.25,0.0
554,XGBoostPoisson,48138,DOORMAT UNION FLAG,2011-12-05/2011-12-11,0.9958333,72.72762,72.42458,72.72762,57.56639,35.0,51.0,0.0
555,XGBoostPoisson,22460,EMBOSSED GLASS TEALIGHT HOLDER,2011-12-05/2011-12-11,0.99381953,76.241615,75.77041,76.241615,57.532585,46.0,74.75,0.0
556,XGBoostPoisson,35964,FOLKART CLIP ON STARS,2011-12-05/2011-12-11,0.9526412,59.077652,56.279804,59.077652,57.52718,99.0,70.5,0.0
557,XGBoostPoisson,21912,VINTAGE SNAKES & LADDERS,2011-12-05/2011-12-11,0.99775785,65.83881,65.69119,65.83881,57.485554,240.0,93.5,0.0
558,XGBoostPoisson,23286,BLUE VINTAGE SPOT BEAKER,2011-12-05/2011-12-11,0.9695238,34.516537,33.464603,34.516537,57.343468,22.0,50.0,0.0
559,XGBoostPoisson,22109,FULL ENGLISH BREAKFAST PLATE,2011-12-05/2011-12-11,0.99583334,68.79527,68.50863,68.79527,57.01215,92.0,64.0,0.0
560,XGBoostPoisson,85053,FRENCH ENAMEL CANDLEHOLDER,2011-12-05/2011-12-11,0.9886148,56.914886,56.2669,56.914886,57.008778,119.0,65.0,0.0
561,XGBoostPoisson,21976,PACK OF 60 MUSHROOM CAKE CASES,2011-12-05/2011-12-11,0.98614967,69.763855,68.7976,69.763855,56.8849,20.0,43.0,0.0
562,XGBoostPoisson,22568,FELTCRAFT CUSHION OWL,2011-12-05/2011-12-11,0.7718191,70.56691,54.46489,70.56691,56.780376,1.0,90.75,0.0
563,XGBoostPoisson,22333,RETROSPOT PARTY BAG + STICKER SET,2011-12-05/2011-12-11,0.95264125,60.09379,57.24782,60.09379,56.74784,3.0,86.75,0.0
564,XGBoostPoisson,22817,CARD SUKI BIRTHDAY,2011-12-05/2011-12-11,0.9958334,72.75874,72.45559,72.75874,56.625153,55.0,85.75,0.0
565,XGBoostPoisson,82486,WOOD S/3 CABINET ANT WHITE FINISH,2011-12-05/2011-12-11,0.9938196,82.67047,82.15953,82.67047,56.491653,101.0,71.5,0.0
566,XGBoostPoisson,23176,ABC TREASURE BOOK BOX ,2011-12-05/2011-12-11,0.9886148,56.851944,56.204674,56.851944,56.488342,21.0,105.75,0.0
567,XGBoostPoisson,23227,FILIGREE HEART BUTTERFLY WHITE ,2011-12-05/2011-12-11,0.99583334,62.56079,62.30012,62.56079,56.38363,60.0,73.75,0.0
568,XGBoostPoisson,23121,PACK OF 6 COCKTAIL PARASOL STRAWS,2011-12-05/2011-12-11,0.99240506,62.867184,62.38971,62.867184,56.312,55.0,58.5,0.0
569,XGBoostPoisson,85172,HYACINTH BULB T-LIGHT CANDLES,2011-12-05/2011-12-11,0.9129512,43.3084,39.538452,43.3084,56.245686,32.0,76.0,0.0
570,XGBoostPoisson,21888,BINGO SET,2011-12-05/2011-12-11,0.99583334,67.91826,67.63527,67.91826,55.9117,39.0,69.75,0.0
571,XGBoostPoisson,22614,PACK OF 12 SPACEBOY TISSUES,2011-12-05/2011-12-11,0.98496246,71.92571,70.844124,71.92571,55.766907,31.0,57.5,0.0
572,XGBoostPoisson,21155,RED RETROSPOT PEG BAG,2011-12-05/2011-12-11,0.99240506,68.69033,68.16863,68.69033,55.755898,53.0,58.25,0.0
573,XGBoostPoisson,22804,CANDLEHOLDER PINK HANGING HEART,2011-12-05/2011-12-11,0.9886148,33.88892,33.503086,33.88892,55.6218,16.0,195.0,0.0
574,XGBoostPoisson,20981,12 PENCILS TALL TUBE WOODLAND,2011-12-05/2011-12-11,0.99381953,74.61632,74.15515,74.61632,55.540195,38.0,89.75,0.0
575,XGBoostPoisson,22725,ALARM CLOCK BAKELIKE CHOCOLATE,2011-12-05/2011-12-11,0.9977578,71.79662,71.63564,71.79662,55.470192,86.0,61.5,0.0
576,XGBoostPoisson,21754,HOME BUILDING BLOCK WORD,2011-12-05/2011-12-11,0.99381953,58.253098,57.893066,58.253098,55.452473,52.0,52.5,0.0
577,XGBoostPoisson,21916,SET 12 RETRO WHITE CHALK STICKS,2011-12-05/2011-12-11,0.992405,61.15436,60.689896,61.15436,55.307446,27.0,61.0,0.0
578,XGBoostPoisson,22421,LIPSTICK PEN FUSCHIA,2011-12-05/2011-12-11,0.99381953,59.46825,59.100708,59.46825,55.227802,29.0,103.0,0.0
579,XGBoostPoisson,23256,CHILDRENS CUTLERY SPACEBOY ,2011-12-05/2011-12-11,0.99381953,76.49788,76.025085,76.49788,55.187473,32.0,63.75,0.0
580,XGBoostPoisson,22307,GOLD MUG BONE CHINA TREE OF LIFE,2011-12-05/2011-12-11,0.9631337,55.744534,53.689438,55.744534,55.1584,55.0,69.5,0.0
581,XGBoostPoisson,23194,GYMKHANA TREASURE BOOK BOX,2011-12-05/2011-12-11,0.99240506,50.58792,50.20371,50.58792,55.101463,20.0,99.25,0.0
582,XGBoostPoisson,23327,HANGING CLEAR MINI BOTTLE,2011-12-05/2011-12-11,0.7718192,70.999054,54.79843,70.999054,55.04004,50.0,72.5,0.0
583,XGBoostPoisson,15056N,EDWARDIAN PARASOL NATURAL,2011-12-05/2011-12-11,0.9849624,59.193336,58.30321,59.193336,54.886147,33.0,43.75,0.0
584,XGBoostPoisson,22750,FELTCRAFT PRINCESS LOLA DOLL,2011-12-05/2011-12-11,0.99381953,79.63845,79.14625,79.63845,54.825302,72.0,72.0,0.0
585,XGBoostPoisson,23217,LAUREL HEART ANTIQUE SILVER,2011-12-05/2011-12-11,0.98749995,57.08162,56.368095,57.08162,54.700066,212.0,84.0,0.0
586,XGBoostPoisson,22208,WOOD STAMP SET THANK YOU,2011-12-05/2011-12-11,0.99381953,77.64819,77.16829,77.64819,54.61182,65.0,90.75,0.0
587,XGBoostPoisson,20677,PINK POLKADOT BOWL,2011-12-05/2011-12-11,0.99381953,65.8425,65.43556,65.8425,54.18233,35.0,52.25,0.0
588,XGBoostPoisson,23547,WRAP FLOWER SHOP  ,2011-12-05/2011-12-11,0.9736842,58.900658,57.35064,58.900658,54.086372,50.0,50.0,0.0
589,XGBoostPoisson,23290,SPACEBOY CHILDRENS BOWL,2011-12-05/2011-12-11,0.9849624,51.07439,50.306355,51.07439,54.076828,15.0,114.75,0.0
590,XGBoostPoisson,22810,SET OF 6 T-LIGHTS SNOWMEN,2011-12-05/2011-12-11,0.9849624,82.25763,81.020676,82.25763,54.026337,43.0,63.5,0.0
591,XGBoostPoisson,22766,PHOTO FRAME CORNICE,2011-12-05/2011-12-11,0.9958334,60.664864,60.412098,60.664864,53.94453,29.0,54.25,0.0
592,XGBoostPoisson,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,2011-12-05/2011-12-11,0.99381953,69.60633,69.17613,69.60633,53.92168,27.0,48.5,0.0
593,XGBoostPoisson,23145,ZINC T-LIGHT HOLDER STAR LARGE,2011-12-05/2011-12-11,0.9977578,71.89043,71.72923,71.89043,53.879967,51.0,49.0,0.0
594,XGBoostPoisson,22186,RED STAR CARD HOLDER,2011-12-05/2011-12-11,0.9733334,63.749435,62.049458,63.749435,53.61972,58.0,63.75,0.0
595,XGBoostPoisson,23189,SET OF 12 FORK CANDLES,2011-12-05/2011-12-11,0.9938195,58.376766,58.01597,58.376766,53.538155,75.0,49.5,0.0
596,XGBoostPoisson,23004,TRAVEL CARD WALLET PANTRY,2011-12-05/2011-12-11,0.9938196,77.146515,76.669716,77.146515,53.46624,87.0,54.0,0.0
597,XGBoostPoisson,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,2011-12-05/2011-12-11,0.96313363,54.09653,52.10219,54.09653,53.354027,30.0,104.75,0.0
598,XGBoostPoisson,37340,MULTICOLOUR SPRING FLOWER MUG,2011-12-05/2011-12-11,0.9849624,52.467026,51.678047,52.467026,53.312485,24.0,73.5,0.0
599,XGBoostPoisson,21974,SET OF 36 PAISLEY FLOWER DOILIES,2011-12-05/2011-12-11,0.99381953,62.56561,62.178925,62.56561,53.210503,54.0,64.5,0.0
600,XGBoostPoisson,22507,MEMO BOARD RETROSPOT  DESIGN,2011-12-05/2011-12-11,0.9938195,62.266033,61.881195,62.266033,53.164482,42.0,41.75,0.0
601,XGBoostPoisson,20969,RED FLORAL FELTCRAFT SHOULDER BAG,2011-12-05/2011-12-11,0.99381953,72.99228,72.54115,72.99228,53.156055,34.0,51.5,0.0
602,XGBoostPoisson,35961,FOLKART ZINC HEART CHRISTMAS DEC,2011-12-05/2011-12-11,0.99381953,73.49245,73.03823,73.49245,53.111958,61.0,61.75,0.0
603,XGBoostPoisson,22752,SET 7 BABUSHKA NESTING BOXES,2011-12-05/2011-12-11,0.99775785,59.700153,59.566296,59.700153,53.071552,67.0,58.25,0.0
604,XGBoostPoisson,22644,CERAMIC CHERRY CAKE MONEY BANK,2011-12-05/2011-12-11,0.9938196,57.114742,56.76175,57.114742,53.008514,110.0,57.25,0.0
605,XGBoostPoisson,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,2011-12-05/2011-12-11,0.9705305,52.670353,51.118183,52.670353,52.888374,78.0,64.0,0.0
606,XGBoostPoisson,21967,PACK OF 12 SKULL TISSUES,2011-12-05/2011-12-11,0.9861496,56.82172,56.034718,56.82172,52.879192,20.0,47.25,0.0
607,XGBoostPoisson,22156,HEART DECORATION WITH PEARLS ,2011-12-05/2011-12-11,0.9938195,67.47601,67.058975,67.47601,52.871227,51.0,68.25,0.0
608,XGBoostPoisson,21917,SET 12 KIDS  WHITE CHALK STICKS,2011-12-05/2011-12-11,0.9631337,62.903297,60.584286,62.903297,52.838474,5.0,54.0,0.0
609,XGBoostPoisson,22299,PIG KEYRING WITH LIGHT & SOUND ,2011-12-05/2011-12-11,0.96313363,41.901848,40.35708,41.901848,52.745876,194.0,88.25,0.0
610,XGBoostPoisson,22999,TRAVEL CARD WALLET VINTAGE LEAF,2011-12-05/2011-12-11,0.9958333,70.79011,70.49515,70.79011,52.73712,44.0,47.0,0.0
611,XGBoostPoisson,22302,COFFEE MUG PEARS  DESIGN,2011-12-05/2011-12-11,0.9736842,54.428463,52.996136,54.428463,52.701023,55.0,42.0,0.0
612,XGBoostPoisson,85204,HANGING WOOD AND FELT FLOWER,2011-12-05/2011-12-11,0.8745875,47.118763,41.20948,47.118763,52.67437,7.0,63.5,0.0
613,XGBoostPoisson,22493,PAINT YOUR OWN CANVAS SET,2011-12-05/2011-12-11,0.99775785,69.29512,69.13975,69.29512,52.6348,64.0,56.25,0.0
614,XGBoostPoisson,21523,DOORMAT FANCY FONT HOME SWEET HOME,2011-12-05/2011-12-11,0.99240506,61.691162,61.222622,61.691162,52.618137,19.0,52.0,0.0
615,XGBoostPoisson,22947,WOODEN ADVENT CALENDAR RED,2011-12-05/2011-12-11,0.9705305,50.674828,49.181465,50.674828,52.55709,27.0,105.75,0.0
616,XGBoostPoisson,20978,36 PENCILS TUBE SKULLS,2011-12-05/2011-12-11,0.9886148,68.08269,67.30755,68.08269,52.520702,56.0,74.0,0.0
617,XGBoostPoisson,22440,BALLOON WATER BOMB PACK OF 35,2011-12-05/2011-12-11,0.9886148,52.124733,51.53128,52.124733,52.47842,133.0,74.5,0.0
618,XGBoostPoisson,22195,LARGE HEART MEASURING SPOONS,2011-12-05/2011-12-11,0.9875,77.1499,76.18553,77.1499,52.387573,42.0,63.25,0.0
619,XGBoostPoisson,23002,TRAVEL CARD WALLET SKULLS,2011-12-05/2011-12-11,0.98614967,63.715332,62.832855,63.715332,52.30191,78.0,64.0,0.0
620,XGBoostPoisson,21876,POTTERING MUG,2011-12-05/2011-12-11,0.9958333,58.599552,58.355385,58.599552,52.262695,85.0,54.75,0.0
621,XGBoostPoisson,23214,JINGLE BELL HEART ANTIQUE GOLD,2011-12-05/2011-12-11,0.9736842,66.73184,64.97574,66.73184,52.23919,51.0,54.25,0.0
622,XGBoostPoisson,22091,EMPIRE TISSUE BOX,2011-12-05/2011-12-11,0.9736842,39.562103,38.520996,39.562103,52.10536,18.0,68.75,0.0
623,XGBoostPoisson,23177,TREASURE ISLAND BOOK BOX,2011-12-05/2011-12-11,0.9861496,45.98982,45.35284,45.98982,52.100986,22.0,107.75,0.0
624,XGBoostPoisson,22815,CARD PSYCHEDELIC APPLES,2011-12-05/2011-12-11,0.9938196,67.053696,66.639275,67.053696,52.094402,29.0,54.25,0.0
