SourceRowNumber,Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,IsExactDuplicate,SignedRevenue
186067,C507118,35004S,SET OF 3 SILVER FLYING DUCKS,-2,2010-05-06 11:38:00,5.49,15311.0,United Kingdom,False,-10.98
186068,C507118,35004B,SET OF 3 BLACK FLYING DUCKS,-1,2010-05-06 11:38:00,4.65,15311.0,United Kingdom,False,-4.65
186069,C507118,35004C,SET OF 3 COLOURED  FLYING DUCKS,-2,2010-05-06 11:38:00,4.65,15311.0,United Kingdom,False,-9.3
186070,C507118,40003,WHITE BAMBOO RIBS LAMPSHADE,-1,2010-05-06 11:38:00,0.95,15311.0,United Kingdom,False,-0.95
186071,C507118,40001,WHITE BAMBOO RIBS LAMPSHADE,-1,2010-05-06 11:38:00,0.64,15311.0,United Kingdom,False,-0.64
186072,C507118,79029,GLASS HONEYPOT WASP CATCHER,-1,2010-05-06 11:38:00,1.65,15311.0,United Kingdom,False,-1.65
186073,C507118,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,-3,2010-05-06 11:38:00,2.75,15311.0,United Kingdom,False,-8.25
186235,C507123,22503,CABIN BAG VINTAGE PAISLEY,-1,2010-05-06 11:57:00,29.95,,United Kingdom,False,-29.95
186387,C507131,21871,SAVE THE PLANET MUG,-16,2010-05-06 12:25:00,1.25,14543.0,United Kingdom,False,-20.0
186775,C507164,79190A,RETRO PLASTIC 70'S TRAY,-1,2010-05-06 14:17:00,0.81,,United Kingdom,False,-0.81
186776,C507164,79191D,RETRO PLASTIC DAISY TRAY,-1,2010-05-06 14:17:00,1.66,,United Kingdom,False,-1.66
186815,C507171,47566B,TEA TIME PARTY BUNTING,-60,2010-05-06 14:46:00,3.75,13798.0,United Kingdom,False,-225.0
187169,C507184,79323P,PINK CHERRY LIGHTS,-4,2010-05-06 16:01:00,6.75,16255.0,United Kingdom,False,-27.0
187194,C507185,79323G,GOLD  CHERRY LIGHTS,-1,2010-05-06 16:02:00,6.75,16039.0,United Kingdom,False,-6.75
187199,C507191,79323P,PINK CHERRY LIGHTS,-2,2010-05-06 16:17:00,6.75,17496.0,United Kingdom,False,-13.5
187200,C507191,79323LP,LIGHT PINK CHERRY LIGHTS,-2,2010-05-06 16:17:00,6.75,17496.0,United Kingdom,False,-13.5
187234,C507195,84466,TOP SECRET PEN SET,-309,2010-05-06 16:21:00,0.95,16656.0,United Kingdom,False,-293.55
187274,C507198,21212,PACK OF 72 RETRO SPOT CAKE CASES,-120,2010-05-06 16:27:00,0.42,13881.0,United Kingdom,False,-50.4
187275,C507200,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,2010-05-06 16:29:00,1.25,16186.0,United Kingdom,False,-1.25
187276,C507201,22423,REGENCY CAKESTAND 3 TIER,-1,2010-05-06 16:32:00,12.75,16317.0,United Kingdom,False,-12.75
187277,C507202,79000,MOROCCAN TEA GLASS,-3,2010-05-06 16:33:00,0.85,16347.0,United Kingdom,False,-2.55
187278,C507203,22360,GLASS JAR ENGLISH CONFECTIONERY,-2,2010-05-06 16:34:00,2.95,13143.0,United Kingdom,False,-5.9
187279,C507204,21532,DAIRY MAID SUGAR JAM BOWL,-2,2010-05-06 16:44:00,2.1,13342.0,United Kingdom,False,-4.2
187280,C507204,21534,DAIRY MAID LARGE MILK JUG,-2,2010-05-06 16:44:00,4.95,13342.0,United Kingdom,False,-9.9
187353,C507209,84770,ROUND GEORGIAN SILVER MIRROR,-18,2010-05-06 17:00:00,2.95,17640.0,United Kingdom,False,-53.1
187519,C507214,21155,RED SPOTTY PEG BAG,-1,2010-05-06 17:56:00,2.1,13081.0,United Kingdom,False,-2.1
187520,C507214,22179,SET 10 LIGHTS NIGHT OWL,-1,2010-05-06 17:56:00,5.95,13081.0,United Kingdom,False,-5.95
187521,C507214,85042,ANTIQUE LILY FAIRY LIGHTS,-3,2010-05-06 17:56:00,4.25,13081.0,United Kingdom,False,-12.75
187522,C507215,22361,GLASS JAR DAISY FRESH COTTON WOOL,-1,2010-05-06 17:59:00,1.25,14194.0,United Kingdom,False,-1.25
187523,C507215,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,-2,2010-05-06 17:59:00,1.95,14194.0,United Kingdom,False,-3.9
187536,C507217,22423,REGENCY CAKESTAND 3 TIER,-1,2010-05-06 18:02:00,12.75,12982.0,United Kingdom,False,-12.75
187537,C507217,20914,SET/5 RED SPOTTY LID GLASS BOWLS,-1,2010-05-06 18:02:00,2.95,12982.0,United Kingdom,False,-2.95
187538,C507217,71459,HANGING JAM JAR T-LIGHT HOLDER,-1,2010-05-06 18:02:00,0.85,12982.0,United Kingdom,False,-0.85
187539,C507217,21218,RED SPOTTY BISCUIT TIN,-3,2010-05-06 18:02:00,3.75,12982.0,United Kingdom,False,-11.25
187540,C507217,21320,GLASS CHALICE GREEN  LARGE ,-1,2010-05-06 18:02:00,2.55,12982.0,United Kingdom,False,-2.55
187578,C507219,22355,"CHARLOTTE BAG , SUKI DESIGN",-1,2010-05-06 19:14:00,0.85,14713.0,United Kingdom,False,-0.85
187579,C507219,10002,INFLATABLE POLITICAL GLOBE ,-1,2010-05-06 19:14:00,0.85,14713.0,United Kingdom,False,-0.85
187580,C507219,79323S,SILVER CHERRY LIGHTS,-1,2010-05-06 19:14:00,6.75,14713.0,United Kingdom,False,-6.75
187581,C507219,79323W,WHITE CHERRY LIGHTS,-2,2010-05-06 19:14:00,6.75,14713.0,United Kingdom,False,-13.5
187582,C507219,79323LP,LIGHT PINK CHERRY LIGHTS,-2,2010-05-06 19:14:00,6.75,14713.0,United Kingdom,False,-13.5
187583,C507220,37495,FAIRY CAKE BIRTHDAY CANDLE SET,-4,2010-05-06 19:26:00,3.75,12915.0,United Kingdom,False,-15.0
187584,C507220,22138,BAKING SET 9 PIECE RETROSPOT ,-3,2010-05-06 19:26:00,4.95,12915.0,United Kingdom,False,-14.850000000000001
187585,C507221,21868,POTTING SHED TEA MUG,-1,2010-05-06 19:27:00,1.25,14837.0,United Kingdom,False,-1.25
187586,C507222,D,Discount,-1,2010-05-06 19:28:00,48.0,13027.0,United Kingdom,False,-48.0
187623,C507224,85174,S/4 CACTI CANDLES,-1,2010-05-06 19:31:00,4.95,13824.0,United Kingdom,False,-4.95
187624,C507225,21865,PINK UNION JACK  PASSPORT COVER ,-6,2010-05-06 19:32:00,2.1,13539.0,United Kingdom,False,-12.600000000000001
187625,C507226,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,-2,2010-05-06 19:34:00,1.49,13126.0,United Kingdom,False,-2.98
187626,C507226,37495,FAIRY CAKE BIRTHDAY CANDLE SET,-2,2010-05-06 19:34:00,3.75,13126.0,United Kingdom,False,-7.5
187766,C507230,21034,REX CASH+CARRY JUMBO SHOPPER,-1,2010-05-06 20:02:00,0.95,17530.0,United Kingdom,False,-0.95
188366,C507271,79323P,PINK CHERRY LIGHTS,-4,2010-05-07 12:41:00,6.75,14535.0,United Kingdom,False,-27.0
188367,C507271,79323LP,LIGHT PINK CHERRY LIGHTS,-4,2010-05-07 12:41:00,6.75,14535.0,United Kingdom,False,-27.0
188368,C507271,79323GR,GREEN CHERRY LIGHTS,-6,2010-05-07 12:41:00,6.75,14535.0,United Kingdom,False,-40.5
188369,C507271,79323W,WHITE CHERRY LIGHTS,-6,2010-05-07 12:41:00,6.75,14535.0,United Kingdom,False,-40.5
188371,C507274,47505,MINATURE COLOURED GARDENING SET,-10,2010-05-07 12:49:00,4.25,14824.0,United Kingdom,False,-42.5
188446,C507284,79323W,WHITE CHERRY LIGHTS,-4,2010-05-07 13:49:00,6.75,14264.0,United Kingdom,False,-27.0
188841,C507298,79323LP,LIGHT PINK CHERRY LIGHTS,-1,2010-05-07 14:47:00,6.75,14713.0,United Kingdom,False,-6.75
188912,C507358,79323W,WHITE CHERRY LIGHTS,-6,2010-05-07 15:30:00,6.75,14527.0,United Kingdom,False,-40.5
188913,C507358,79323W,WHITE CHERRY LIGHTS,-3,2010-05-07 15:30:00,6.75,14527.0,United Kingdom,False,-20.25
188914,C507358,79323B,BLACK CHERRY LIGHTS,-6,2010-05-07 15:30:00,6.75,14527.0,United Kingdom,False,-40.5
188984,C507361,79323B,BLACK CHERRY LIGHTS,-19,2010-05-07 15:55:00,5.45,15311.0,United Kingdom,False,-103.55
188985,C507361,79323S,SILVER CHERRY LIGHTS,-12,2010-05-07 15:55:00,5.45,15311.0,United Kingdom,False,-65.4
188986,C507361,79323G,GOLD  CHERRY LIGHTS,-12,2010-05-07 15:55:00,5.45,15311.0,United Kingdom,False,-65.4
188987,C507361,79323LP,LIGHT PINK CHERRY LIGHTS,-24,2010-05-07 15:55:00,5.45,15311.0,United Kingdom,False,-130.8
188988,C507361,79323W,WHITE CHERRY LIGHTS,-24,2010-05-07 15:55:00,5.45,15311.0,United Kingdom,False,-130.8
188989,C507361,79341,WILLOW BRANCH LIGHTS.,-1,2010-05-07 15:55:00,6.75,15311.0,United Kingdom,False,-6.75
189017,C507365,37495,FAIRY CAKE BIRTHDAY CANDLE SET,-3,2010-05-07 16:27:00,3.75,12915.0,United Kingdom,False,-11.25
189526,C507384,79323P,PINK CHERRY LIGHTS,-2,2010-05-09 12:04:00,6.75,17969.0,United Kingdom,False,-13.5
189527,C507384,79323LP,LIGHT PINK CHERRY LIGHTS,-2,2010-05-09 12:04:00,6.75,17969.0,United Kingdom,False,-13.5
189528,C507384,79323W,WHITE CHERRY LIGHTS,-1,2010-05-09 12:04:00,6.75,17969.0,United Kingdom,False,-6.75
189529,C507384,79323GR,GREEN CHERRY LIGHTS,-1,2010-05-09 12:04:00,6.75,17969.0,United Kingdom,False,-6.75
189530,C507384,79341,WILLOW BRANCH LIGHTS.,-1,2010-05-09 12:04:00,6.75,17969.0,United Kingdom,False,-6.75
190406,C507415,21333,CLASSIC WHITE FRAME,-2,2010-05-09 14:14:00,2.95,16150.0,United Kingdom,False,-5.9
191178,C507451,79323P,PINK CHERRY LIGHTS,-48,2010-05-10 10:04:00,5.45,14258.0,United Kingdom,False,-261.6
191179,C507451,79323B,BLACK CHERRY LIGHTS,-24,2010-05-10 10:04:00,5.45,14258.0,United Kingdom,False,-130.8
191180,C507451,79323W,WHITE CHERRY LIGHTS,-24,2010-05-10 10:04:00,5.45,14258.0,United Kingdom,False,-130.8
191181,C507451,79323LP,LIGHT PINK CHERRY LIGHTS,-22,2010-05-10 10:04:00,5.45,14258.0,United Kingdom,False,-119.9
191216,C507454,79323LP,LIGHT PINK CHERRY LIGHTS,-8,2010-05-10 10:19:00,6.75,12921.0,United Kingdom,False,-54.0
191217,C507454,79323P,PINK CHERRY LIGHTS,-8,2010-05-10 10:19:00,6.75,12921.0,United Kingdom,False,-54.0
191218,C507454,79323W,WHITE CHERRY LIGHTS,-8,2010-05-10 10:19:00,6.75,12921.0,United Kingdom,False,-54.0
191257,C507456,79323W,WHITE CHERRY LIGHTS,-9,2010-05-10 10:24:00,6.75,12921.0,United Kingdom,False,-60.75
191258,C507456,79323LP,LIGHT PINK CHERRY LIGHTS,-8,2010-05-10 10:24:00,6.75,12921.0,United Kingdom,False,-54.0
191259,C507456,79323B,BLACK CHERRY LIGHTS,-8,2010-05-10 10:24:00,6.75,12921.0,United Kingdom,False,-54.0
191260,C507457,79323P,PINK CHERRY LIGHTS,-24,2010-05-10 10:28:00,5.45,16705.0,United Kingdom,False,-130.8
191261,C507457,79323W,WHITE CHERRY LIGHTS,-22,2010-05-10 10:28:00,5.45,16705.0,United Kingdom,False,-119.9
191262,C507457,79323LP,LIGHT PINK CHERRY LIGHTS,-1,2010-05-10 10:28:00,5.45,16705.0,United Kingdom,False,-5.45
191294,C507460,79323LP,LIGHT PINK CHERRY LIGHTS,-18,2010-05-10 10:48:00,5.45,13141.0,United Kingdom,False,-98.10000000000001
191333,C507466,21232,STRAWBERRY CERAMIC TRINKET BOX,-6,2010-05-10 11:04:00,1.25,18220.0,United Kingdom,False,-7.5
191447,C507486,21432,SET OF 3 CASES WOODLAND DESIGN,-1,2010-05-10 11:58:00,5.95,12474.0,Germany,False,-5.95
191448,C507486,20703,BLUE PADDED SOFT MOBILE,-3,2010-05-10 11:58:00,4.25,12474.0,Germany,False,-12.75
191449,C507486,22320,BIRDS MOBILE VINTAGE DESIGN,-3,2010-05-10 11:58:00,5.95,12474.0,Germany,False,-17.85
191513,C507579,22617,BAKING SET SPACEBOY DESIGN,-6,2010-05-10 12:40:00,4.95,13407.0,United Kingdom,False,-29.700000000000003
191514,C507579,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,-1,2010-05-10 12:40:00,5.95,13407.0,United Kingdom,False,-5.95
191515,C507579,84676,BATH DUCK WATERING CAN,-2,2010-05-10 12:40:00,2.95,13407.0,United Kingdom,False,-5.9
191600,C507590,84406B,CREAM CUPID HEARTS COAT HANGER,-32,2010-05-10 13:00:00,2.75,12843.0,United Kingdom,False,-88.0
191601,C507590,22567,20 DOLLY PEGS RETROSPOT,-6,2010-05-10 13:00:00,1.25,12843.0,United Kingdom,False,-7.5
191602,C507592,15056P,EDWARDIAN PARASOL PINK,-1,2010-05-10 13:02:00,4.95,12917.0,United Kingdom,False,-4.95
191603,C507592,15056N,EDWARDIAN PARASOL NATURAL,-2,2010-05-10 13:02:00,4.95,12917.0,United Kingdom,False,-9.9
191630,C507596,22492,MINI PAINT SET VINTAGE ,-36,2010-05-10 13:18:00,0.65,16843.0,United Kingdom,False,-23.400000000000002
191659,C507598,84686,BEACH HUT MIRROR,-2,2010-05-10 13:22:00,4.25,15555.0,United Kingdom,False,-8.5
191660,C507598,84687,BEACH HUT SHELF W 3 DRAWERS,-2,2010-05-10 13:22:00,5.95,15555.0,United Kingdom,False,-11.9
191661,C507598,84688,BEACH HUT DESIGN BLACKBOARD,-2,2010-05-10 13:22:00,4.25,15555.0,United Kingdom,False,-8.5
191662,C507598,84689,S/2 BEACH HUT TREASURE CHESTS,-2,2010-05-10 13:22:00,5.95,15555.0,United Kingdom,False,-11.9
191663,C507599,21949,SET OF 6 STRAWBERRY CHOPSTICKS,-6,2010-05-10 13:26:00,1.25,13136.0,United Kingdom,False,-7.5
191664,C507599,15036,ASSORTED COLOURS SILK FAN,-24,2010-05-10 13:26:00,0.75,13136.0,United Kingdom,False,-18.0
191665,C507599,47590A,BLUE HAPPY BIRTHDAY BUNTING,-1,2010-05-10 13:26:00,5.45,13136.0,United Kingdom,False,-5.45
191666,C507599,21643,ASSORTED TUTTI FRUTTI MIRROR,-1,2010-05-10 13:26:00,1.25,13136.0,United Kingdom,False,-1.25
191667,C507599,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,-4,2010-05-10 13:26:00,4.25,13136.0,United Kingdom,False,-17.0
191668,C507599,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,-1,2010-05-10 13:26:00,4.25,13136.0,United Kingdom,False,-4.25
191669,C507599,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-1,2010-05-10 13:26:00,6.95,13136.0,United Kingdom,False,-6.95
191670,C507599,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,-1,2010-05-10 13:26:00,2.95,13136.0,United Kingdom,False,-2.95
191671,C507599,22057,CERAMIC PLATE STRAWBERRY DESIGN,-3,2010-05-10 13:26:00,1.49,13136.0,United Kingdom,False,-4.47
191672,C507599,22059,CERAMIC STRWBERRY DESIGN MUG,-4,2010-05-10 13:26:00,1.49,13136.0,United Kingdom,False,-5.96
191697,C507602,22423,REGENCY CAKESTAND 3 TIER,-6,2010-05-10 13:31:00,10.95,15633.0,United Kingdom,False,-65.69999999999999
191698,C507603,85008,SET OF 3 CONEY ISLAND OVAL BOXES,-1,2010-05-10 13:40:00,4.95,16661.0,United Kingdom,False,-4.95
191699,C507603,22294,HEART FILIGREE DOVE  SMALL,-24,2010-05-10 13:40:00,1.25,16661.0,United Kingdom,False,-30.0
191700,C507603,85184B,SET 4 EASTER DECOUPAGE OVAL BOXES,-1,2010-05-10 13:40:00,2.95,16661.0,United Kingdom,False,-2.95
191701,C507603,22295,HEART FILIGREE DOVE LARGE,-12,2010-05-10 13:40:00,1.65,16661.0,United Kingdom,False,-19.799999999999997
191702,C507603,22217,T-LIGHT HOLDER HANGING LACE,-4,2010-05-10 13:40:00,1.25,16661.0,United Kingdom,False,-5.0
191703,C507603,22335,HEART DECORATION PAINTED ZINC ,-5,2010-05-10 13:40:00,0.65,16661.0,United Kingdom,False,-3.25
191704,C507603,22224,WHITE LOVEBIRD LANTERN,-4,2010-05-10 13:40:00,2.95,16661.0,United Kingdom,False,-11.8
191705,C507603,85232A,SET/3 POLKA DOT STACKING TINS,-1,2010-05-10 13:40:00,4.95,16661.0,United Kingdom,False,-4.95
191706,C507603,22077,6 RIBBONS RUSTIC CHARM,-6,2010-05-10 13:40:00,1.65,16661.0,United Kingdom,False,-9.899999999999999
191707,C507603,85049G,CHOCOLATE BOX RIBBONS ,-4,2010-05-10 13:40:00,1.25,16661.0,United Kingdom,False,-5.0
191708,C507603,21390,FILIGRIS HEART WITH BUTTERFLY,-24,2010-05-10 13:40:00,1.25,16661.0,United Kingdom,False,-30.0
191709,C507603,85232B,SET/3 RUSSIAN DOLL STACKING TINS,-1,2010-05-10 13:40:00,4.95,16661.0,United Kingdom,False,-4.95
191710,C507603,35241,ENAMEL BLUE RIM BISCUIT BIN,-1,2010-05-10 13:40:00,4.95,16661.0,United Kingdom,False,-4.95
191711,C507603,37501,TEA TIME TEA SET IN GIFT BOX,-1,2010-05-10 13:40:00,6.95,16661.0,United Kingdom,False,-6.95
191851,C507605,22138,BAKING SET 9 PIECE RETROSPOT ,-2,2010-05-10 13:45:00,4.25,15633.0,United Kingdom,False,-8.5
191852,C507605,21539,RED RETROSPOT BUTTER DISH,-4,2010-05-10 13:45:00,4.25,15633.0,United Kingdom,False,-17.0
191853,C507605,21531,RED RETROSPOT SUGAR JAM BOWL,-2,2010-05-10 13:45:00,2.55,15633.0,United Kingdom,False,-5.1
191887,C507607,84676,BATH DUCK WATERING CAN,-30,2010-05-10 13:50:00,2.55,17353.0,United Kingdom,False,-76.5
191902,C507609,22138,BAKING SET 9 PIECE RETROSPOT ,-12,2010-05-10 13:51:00,4.95,16286.0,United Kingdom,False,-59.400000000000006
191919,C507612,75049L,LARGE CIRCULAR MIRROR MOBILE,-3,2010-05-10 14:03:00,0.85,15311.0,United Kingdom,False,-2.55
191920,C507612,85042,ANTIQUE LILY FAIRY LIGHTS,-2,2010-05-10 14:03:00,4.25,15311.0,United Kingdom,False,-8.5
191921,C507612,85047,WHITE BEADED GARLAND STRING 20LIGHT,-1,2010-05-10 14:03:00,5.55,15311.0,United Kingdom,False,-5.55
191922,C507612,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,2010-05-10 14:03:00,4.65,15311.0,United Kingdom,False,-4.65
191923,C507612,35004S,SET OF 3 SILVER FLYING DUCKS,-1,2010-05-10 14:03:00,5.49,15311.0,United Kingdom,False,-5.49
191924,C507612,35004B,SET OF 3 BLACK FLYING DUCKS,-2,2010-05-10 14:03:00,4.65,15311.0,United Kingdom,False,-9.3
192025,C507618,21231,SWEETHEART CERAMIC TRINKET BOX,-7,2010-05-10 14:11:00,1.25,17635.0,United Kingdom,False,-8.75
192200,C507638,POST,POSTAGE,-1,2010-05-10 14:55:00,4.5,17563.0,United Kingdom,False,-4.5
192250,C507644,21870,I CAN ONLY PLEASE ONE PERSON MUG,-1,2010-05-10 15:20:00,1.25,13890.0,United Kingdom,False,-1.25
192304,C507650,79323B,BLACK CHERRY LIGHTS,-4,2010-05-10 15:54:00,6.75,16735.0,United Kingdom,False,-27.0
192305,C507650,79323W,WHITE CHERRY LIGHTS,-8,2010-05-10 15:54:00,6.75,16735.0,United Kingdom,False,-54.0
192306,C507650,79323GR,GREEN CHERRY LIGHTS,-4,2010-05-10 15:54:00,6.75,16735.0,United Kingdom,False,-27.0
192307,C507650,79323P,PINK CHERRY LIGHTS,-8,2010-05-10 15:54:00,6.75,16735.0,United Kingdom,False,-54.0
192308,C507651,POST,POSTAGE,-1,2010-05-10 15:56:00,4.95,14735.0,United Kingdom,False,-4.95
192309,C507651,79323P,PINK CHERRY LIGHTS,-4,2010-05-10 15:56:00,6.75,14735.0,United Kingdom,False,-27.0
192310,C507651,79323LP,LIGHT PINK CHERRY LIGHTS,-3,2010-05-10 15:56:00,6.75,14735.0,United Kingdom,False,-20.25
192311,C507651,79323W,WHITE CHERRY LIGHTS,-3,2010-05-10 15:56:00,6.75,14735.0,United Kingdom,False,-20.25
192312,C507652,79323P,PINK CHERRY LIGHTS,-2,2010-05-10 16:02:00,6.75,17611.0,United Kingdom,False,-13.5
192313,C507653,79323B,BLACK CHERRY LIGHTS,-1,2010-05-10 16:03:00,6.75,17610.0,United Kingdom,False,-6.75
192314,C507653,79323W,WHITE CHERRY LIGHTS,-3,2010-05-10 16:03:00,6.75,17610.0,United Kingdom,False,-20.25
192315,C507653,79323LP,LIGHT PINK CHERRY LIGHTS,-2,2010-05-10 16:03:00,6.75,17610.0,United Kingdom,False,-13.5
192316,C507653,79323P,PINK CHERRY LIGHTS,-2,2010-05-10 16:03:00,6.75,17610.0,United Kingdom,False,-13.5
192337,C507655,21452,TOADSTOOL MONEY BOX,-2,2010-05-10 16:21:00,2.95,16286.0,United Kingdom,False,-5.9
192338,C507656,79323W,WHITE CHERRY LIGHTS,-13,2010-05-10 16:26:00,5.45,15144.0,United Kingdom,False,-70.85000000000001
192340,C507658,21463,MIRRORED DISCO BALL ,-1,2010-05-10 16:36:00,5.95,14182.0,United Kingdom,False,-5.95
192341,C507658,22423,REGENCY CAKESTAND 3 TIER,-1,2010-05-10 16:36:00,12.75,14182.0,United Kingdom,False,-12.75
192455,C507663,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-4,2010-05-10 16:58:00,9.95,14430.0,United Kingdom,False,-39.8
192456,C507662,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,-1,2010-05-10 16:58:00,9.95,13974.0,United Kingdom,False,-9.95
193011,C507702,22357,KINGS CHOICE BISCUIT TIN,-1,2010-05-11 11:00:00,4.25,13974.0,United Kingdom,False,-4.25
193025,C507704,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,-1,2010-05-11 11:04:00,2.55,17377.0,United Kingdom,False,-2.55
193407,C507725,21930,JUMBO STORAGE BAG SKULLS,-1,2010-05-11 12:03:00,1.95,14389.0,United Kingdom,False,-1.95
193408,C507725,85099B,RED RETROSPOT JUMBO BAG ,-1,2010-05-11 12:03:00,1.95,14389.0,United Kingdom,False,-1.95
193639,C507795,79323LP,LIGHT PINK CHERRY LIGHTS,-3,2010-05-11 12:42:00,6.75,14530.0,United Kingdom,False,-20.25
193640,C507795,79323W,WHITE CHERRY LIGHTS,-4,2010-05-11 12:42:00,6.75,14530.0,United Kingdom,False,-27.0
194352,C507892,47566,PARTY BUNTING,-1,2010-05-11 16:48:00,4.65,13267.0,United Kingdom,False,-4.65
194353,C507892,21684,SMALL MEDINA STAMPED METAL BOWL ,-12,2010-05-11 16:48:00,0.85,13267.0,United Kingdom,False,-10.2
194415,C507919,71459,HANGING JAM JAR T-LIGHT HOLDER,-1,2010-05-12 09:28:00,0.85,16108.0,United Kingdom,False,-0.85
194416,C507919,22464,HANGING METAL HEART LANTERN,-2,2010-05-12 09:28:00,1.65,16108.0,United Kingdom,False,-3.3
194549,C507963,71459,HANGING JAM JAR T-LIGHT HOLDER,-2,2010-05-12 10:36:00,0.85,13117.0,United Kingdom,False,-1.7
195114,C508056,85135C,RED DRAGONFLY HELICOPTER,-1,2010-05-12 13:18:00,7.95,14527.0,United Kingdom,False,-7.95
195115,C508056,21843,RED RETROSPOT CAKE STAND,-1,2010-05-12 13:18:00,10.95,14527.0,United Kingdom,False,-10.95
195116,C508057,79323S,SILVER CHERRY LIGHTS,-4,2010-05-12 13:20:00,6.75,13979.0,United Kingdom,False,-27.0
195117,C508057,79323LP,LIGHT PINK CHERRY LIGHTS,-4,2010-05-12 13:20:00,6.75,13979.0,United Kingdom,False,-27.0
195421,C508076,79323W,WHITE CHERRY LIGHTS,-4,2010-05-12 16:05:00,6.75,17092.0,United Kingdom,False,-27.0
195653,C508091,21667,GLASS CAKE COVER AND PLATE,-1,2010-05-12 17:08:00,16.95,13980.0,United Kingdom,False,-16.95
195927,C508132,10002,INFLATABLE POLITICAL GLOBE ,-400,2010-05-13 10:54:00,0.72,12931.0,United Kingdom,False,-288.0
195928,C508132,20829,GLITTER HANGING BUTTERFLY STRING,-200,2010-05-13 10:54:00,2.1,12931.0,United Kingdom,False,-420.0
195929,C508132,11001,ASSTD DESIGN RACING CAR PEN,-240,2010-05-13 10:54:00,1.27,12931.0,United Kingdom,False,-304.8
195930,C508132,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,-144,2010-05-13 10:54:00,4.25,12931.0,United Kingdom,False,-612.0
195931,C508132,20972,PINK CREAM FELT CRAFT TRINKET BOX ,-500,2010-05-13 10:54:00,1.06,12931.0,United Kingdom,False,-530.0
195932,C508132,22150,3 STRIPEY MICE FELTCRAFT,-300,2010-05-13 10:54:00,1.65,12931.0,United Kingdom,False,-495.0
195933,C508132,21481,FAWN BLUE HOT WATER BOTTLE,-280,2010-05-13 10:54:00,2.55,12931.0,United Kingdom,False,-714.0
195934,C508132,21915,RED  HARMONICA IN BOX ,-300,2010-05-13 10:54:00,1.06,12931.0,United Kingdom,False,-318.0
195935,C508132,21731,RED TOADSTOOL LED NIGHT LIGHT,-300,2010-05-13 10:54:00,1.45,12931.0,United Kingdom,False,-435.0
195936,C508132,20975,12 PENCILS SMALL TUBE RED SPOTTY,-500,2010-05-13 10:54:00,0.55,12931.0,United Kingdom,False,-275.0
195937,C508132,21791,VINTAGE HEADS AND TAILS CARD GAME ,-400,2010-05-13 10:54:00,1.06,12931.0,United Kingdom,False,-424.0
195938,C508134,10002,INFLATABLE POLITICAL GLOBE ,-400,2010-05-13 10:56:00,0.72,12931.0,United Kingdom,False,-288.0
195939,C508134,20829,GLITTER HANGING BUTTERFLY STRING,-200,2010-05-13 10:56:00,2.1,12931.0,United Kingdom,False,-420.0
195940,C508134,11001,ASSTD DESIGN RACING CAR PEN,-240,2010-05-13 10:56:00,1.27,12931.0,United Kingdom,False,-304.8
195941,C508134,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,-140,2010-05-13 10:56:00,4.25,12931.0,United Kingdom,False,-595.0
195942,C508134,20972,PINK CREAM FELT CRAFT TRINKET BOX ,-500,2010-05-13 10:56:00,1.06,12931.0,United Kingdom,False,-530.0
195943,C508134,22150,3 STRIPEY MICE FELTCRAFT,-300,2010-05-13 10:56:00,1.65,12931.0,United Kingdom,False,-495.0
195944,C508134,21481,FAWN BLUE HOT WATER BOTTLE,-280,2010-05-13 10:56:00,2.55,12931.0,United Kingdom,False,-714.0
195945,C508134,21915,RED  HARMONICA IN BOX ,-300,2010-05-13 10:56:00,1.06,12931.0,United Kingdom,False,-318.0
195946,C508134,21731,RED TOADSTOOL LED NIGHT LIGHT,-300,2010-05-13 10:56:00,1.45,12931.0,United Kingdom,False,-435.0
195947,C508134,20975,12 PENCILS SMALL TUBE RED SPOTTY,-500,2010-05-13 10:56:00,0.55,12931.0,United Kingdom,False,-275.0
195948,C508134,21791,VINTAGE HEADS AND TAILS CARD GAME ,-400,2010-05-13 10:56:00,1.06,12931.0,United Kingdom,False,-424.0
195949,C508140,10002,INFLATABLE POLITICAL GLOBE ,-200,2010-05-13 10:58:00,0.72,12931.0,United Kingdom,False,-144.0
195950,C508140,20829,GLITTER HANGING BUTTERFLY STRING,-100,2010-05-13 10:58:00,2.1,12931.0,United Kingdom,False,-210.0
