StockCode,description,quantity,revenue,invoices,active_weeks,countries,median_price,first_sale,last_sale,quantity_per_invoice,revenue_share_pct,revenue_cumulative_pct
22829,SWEETHEART WIRE WALL TIDY,241,2468.5699999999997,118,46,6,9.95,2010-11-10 12:54:00,2011-11-11 14:50:00,2.042372881355932,0.012526888756095644,87.96153574123441
22471,TV DINNER TRAY AIR HOSTESS,583,2465.28,170,69,13,4.95,2010-03-11 10:26:00,2011-12-04 15:47:00,3.429411764705882,0.012510193477449486,87.97404593471187
23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1812,2464.55,280,26,11,1.25,2011-06-09 15:34:00,2011-12-04 15:00:00,6.4714285714285715,0.012506489053920095,87.98655242376579
21898,POTTING SHED ROSE CANDLE,801,2462.1099999999997,108,43,3,2.95,2009-12-11 13:52:00,2011-04-27 11:47:00,7.416666666666667,0.01249410714513692,87.99904653091092
21924,BLUE/CREAM STRIPE FRINGE HAMMOCK,313,2461.36,121,34,4,7.95,2009-12-18 16:36:00,2010-10-18 12:43:00,2.5867768595041323,0.01249030123055193,88.01153683214147
21686,MEDINA STAMPED METAL STOOL,65,2460.1400000000003,33,28,1,39.95,2009-12-11 14:34:00,2011-10-02 15:33:00,1.9696969696969697,0.012484110276160346,88.02402094241764
85054,FRENCH ENAMEL POT W LID,909,2458.92,202,88,9,2.95,2009-12-08 17:10:00,2011-11-28 15:54:00,4.5,0.01247791932176876,88.0364988617394
22676,FRENCH BLUE METAL DOOR SIGN 1,1827,2457.6,302,67,7,1.25,2010-08-17 11:21:00,2011-12-02 17:12:00,6.049668874172186,0.012471220912099174,88.04897008265151
21818,GLITTER CHRISTMAS HEART,4058,2456.5299999999997,272,61,4,0.85,2009-12-08 13:41:00,2011-12-04 15:00:00,14.919117647058824,0.012465791140624585,88.06143587379213
22342,HOME GARLAND PAINTED ZINC,1785,2455.33,226,91,7,1.65,2009-12-07 11:46:00,2011-11-28 15:31:00,7.898230088495575,0.012459701677288602,88.07389557546942
84509F,SET OF 4 NEW ENGLAND PLACEMATS,2780,2452.35,45,30,4,3.75,2009-12-10 17:04:00,2010-11-10 10:50:00,61.77777777777778,0.012444579510004236,88.08634015497942
21747,SMALL SKULL WINDMILL,2047,2448.53,151,67,5,1.25,2009-12-09 11:58:00,2011-11-30 14:00:00,13.556291390728477,0.012425194718384682,88.09876534969781
85034B,3 WHITE CHOC MORRIS BOXED CANDLES,1106,2447.71,137,45,7,3.29,2009-12-08 13:46:00,2011-12-04 11:00:00,8.072992700729927,0.01242103358510509,88.11118638328291
22911,PAPER CHAIN KIT LONDON,847,2436.65,163,54,7,2.95,2010-09-19 13:05:00,2011-12-01 18:43:00,5.196319018404908,0.01236490903135842,88.12355129231427
21680,WOODLAND  STICKERS,2804,2432.96,256,87,9,0.85,2009-12-08 16:09:00,2011-12-02 16:39:00,10.953125,0.012346183931600264,88.13589747624587
82567,"AIRLINE LOUNGE,METAL SIGN",1170,2432.09,475,98,4,2.1,2009-12-07 17:56:00,2011-12-04 11:45:00,2.463157894736842,0.012341769070681673,88.14823924531656
84840,SWEETHEART CARRY-ALL BASKET,282,2430.82,140,36,4,8.5,2010-05-02 15:48:00,2011-03-25 12:21:00,2.0142857142857142,0.01233532438865109,88.1605745697052
22021,BLUE FELT EASTER EGG BASKET,1413,2430.31,233,30,7,1.65,2009-12-14 14:02:00,2011-03-21 11:24:00,6.064377682403434,0.012332736366733295,88.17290730607193
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1250,2422.46,263,86,6,2.55,2009-12-07 13:24:00,2011-12-02 16:39:00,4.752851711026616,0.012292901127410386,88.18520020719934
23316,RED REFECTORY CLOCK,244,2421.92,105,24,10,9.95,2011-06-23 18:44:00,2011-12-02 13:21:00,2.323809523809524,0.012290160868909192,88.19749036806826
22537,MAGIC DRAWING SLATE DINOSAUR,5860,2420.4900000000002,349,83,10,0.42,2010-03-29 13:55:00,2011-12-02 13:54:00,16.79083094555874,0.012282904258433812,88.20977327232669
22190,LOCAL CAFE MUG,1234,2418.77,223,77,5,2.1,2009-12-07 17:56:00,2011-12-04 14:55:00,5.533632286995516,0.01227417602765223,88.22204744835433
21431,GREEN GINGHAM FLOWER JEWELLERY BOX,1430,2416.79,264,44,11,1.65,2009-12-07 13:24:00,2010-11-16 13:04:00,5.416666666666667,0.012264128413147854,88.23431157676748
22789,T-LIGHT HOLDER SWEETHEART HANGING,1233,2407.61,194,52,2,1.95,2010-10-17 12:03:00,2011-12-04 12:52:00,6.355670103092783,0.012217544018627562,88.24652912078611
21973,SET OF 36 MUSHROOM PAPER DOILIES,1664,2404.97,206,74,17,1.45,2009-12-07 10:41:00,2011-11-28 11:18:00,8.077669902912621,0.01220414719928839,88.25873326798539
20960,WATERMELON BATH SPONGE,1792,2402.64,201,55,7,1.25,2009-12-07 13:35:00,2011-03-07 10:12:00,8.91542288557214,0.01219232349131102,88.2709255914767
22613,PACK OF 20 SPACEBOY NAPKINS,3026,2397.73,270,75,14,0.85,2010-05-06 11:50:00,2011-12-04 12:44:00,11.207407407407407,0.012167407437161278,88.28309299891386
21323,HANGING MEDINA LANTERN LARGE,712,2395.49,77,26,3,4.25,2009-12-07 17:56:00,2010-07-23 08:24:00,9.246753246753247,0.0121560404389341,88.2952490393528
21642,ASSORTED TUTTI FRUTTI PEN,4218,2394.1,234,73,5,0.85,2009-12-07 12:42:00,2011-12-01 13:08:00,18.025641025641026,0.012148986810569919,88.30739802616337
22758,LARGE PURPLE BABUSHKA NOTEBOOK,1919,2393.56,283,63,11,1.25,2010-08-06 17:36:00,2011-12-04 10:56:00,6.780918727915195,0.012146246552068725,88.31954427271543
22362,GLASS JAR PEACOCK BATH SALTS,743,2393.05,250,82,9,2.95,2010-03-15 09:28:00,2011-12-04 13:32:00,2.972,0.012143658530150933,88.33168793124558
22609,PENS ASSORTED SPACEBALL,7042,2393.0299999999997,197,63,6,0.21,2010-02-23 14:16:00,2011-12-02 16:34:00,35.746192893401016,0.01214355703909533,88.34383148828468
23400,SHELF WITH 4 HOOKS HOME SWEET HOME,458,2390.59,105,13,4,6.25,2011-09-06 11:55:00,2011-11-30 15:33:00,4.3619047619047615,0.012131175130312161,88.35596266341499
22091,EMPIRE TISSUE BOX,3114,2390.01,308,86,7,1.25,2009-12-07 17:56:00,2011-12-02 12:36:00,10.11038961038961,0.012128231889699768,88.36809089530469
23497,CLASSIC CHROME BICYCLE BELL,1669,2383.17,159,6,11,1.45,2011-10-28 13:04:00,2011-12-04 14:55:00,10.49685534591195,0.012093521948684648,88.38018441725337
21789,KIDS RAIN MAC PINK,2861,2382.67,211,81,15,0.85,2009-12-07 17:56:00,2011-12-02 16:39:00,13.559241706161137,0.012090984672294653,88.39227540192567
22852,DOG BOWL VINTAGE CREAM,547,2382.53,154,54,9,4.25,2010-10-15 11:47:00,2011-12-04 11:56:00,3.551948051948052,0.012090274234905456,88.40436567616058
21274,EMBOSSED HEART 3 DRAWER SHELF,172,2382.44,102,42,4,12.75,2009-12-07 13:23:00,2010-11-05 11:58:00,1.6862745098039216,0.012089817525155255,88.41645549368573
21616,4 PEAR BOTANICAL DINNER CANDLES,1129,2379.23,183,59,6,2.46,2009-12-08 16:20:00,2011-12-04 13:32:00,6.169398907103825,0.012073528210731493,88.42852902189647
23028,DRAWER KNOB CRACKLE GLAZE BLUE,1369,2377.1299999999997,137,21,13,1.65,2011-06-14 13:51:00,2011-11-02 13:46:00,9.992700729927007,0.012062871649893517,88.44059189354635
23424,GINGHAM RECIPE BOOK BOX,443,2374.69,129,14,7,4.95,2011-09-04 16:09:00,2011-12-04 10:29:00,3.434108527131783,0.012050489741110348,88.45264238328747
84818,DANISH ROSE PHOTO FRAME,1785,2374.6,213,78,9,2.51,2009-12-14 17:57:00,2011-10-30 16:15:00,8.380281690140846,0.012050033031360149,88.46469241631883
21330,WOODLAND ANIMAL  WRITING SET,1413,2373.7,189,38,6,1.65,2009-12-07 17:56:00,2010-11-07 15:58:00,7.476190476190476,0.012045465933858157,88.47673788225268
23406,HOME SWEET HOME KEY HOLDER,450,2372.7400000000002,107,13,3,6.25,2011-09-05 10:15:00,2011-12-04 12:17:00,4.205607476635514,0.012040594363189371,88.48877847661586
85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,615,2372.21,162,79,3,4.25,2009-12-07 14:52:00,2011-10-31 14:41:00,3.7962962962962963,0.012037904850215976,88.50081638146608
84795B,SUNSET CHECK HAMMOCK,297,2371.14,95,47,4,7.95,2009-12-07 18:02:00,2011-11-08 09:07:00,3.126315789473684,0.01203247507874139,88.51284885654482
85059,FRENCH ENAMEL WATER BASIN,695,2369.9700000000003,207,85,5,3.75,2009-12-07 17:56:00,2011-11-29 15:09:00,3.357487922705314,0.012026537851988804,88.52487539439682
22415,WHITE TISSUE REAM,298,2369.1,190,50,4,7.95,2009-12-07 13:07:00,2011-01-26 11:27:00,1.568421052631579,0.012022122991070213,88.53689751738789
22448,PIN CUSHION BABUSHKA RED,726,2367.78,116,58,10,3.35,2010-03-18 16:28:00,2011-12-04 15:28:00,6.258620689655173,0.01201542458140063,88.54891294196929
85041,SET/4 PINK ORCHID CANDLES IN BOWL,1773,2365.69,84,25,3,1.65,2009-12-09 14:16:00,2010-07-15 15:08:00,21.107142857142858,0.012004818766090452,88.56091776073538
22540,MINI JIGSAW CIRCUS PARADE,5911,2361.32,182,76,14,0.42,2010-03-28 15:11:00,2011-11-29 15:06:00,32.47802197802198,0.011982642970441906,88.57290040370582
21468,BUTTERFLY CROCHET FOOD COVER,668,2357.64,141,75,3,3.75,2009-12-18 11:18:00,2011-11-29 13:06:00,4.73758865248227,0.011963968616211547,88.58486437232203
23412,HEART MIRROR ANTIQUE WHITE,358,2354.8,76,6,1,7.5,2011-09-06 09:53:00,2011-10-10 17:26:00,4.7105263157894735,0.011949556886316381,88.59681392920835
21437,24 HANGING EASTER EGGS FLORAL TUB,677,2350.92,109,14,3,3.75,2009-12-08 18:18:00,2010-03-28 15:16:00,6.2110091743119265,0.011929867621530026,88.60874379682988
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT,764,2349.4900000000002,166,73,10,2.95,2009-12-07 18:02:00,2011-12-02 16:39:00,4.602409638554217,0.011922611011054645,88.62066640784094
22986,GINGHAM ROSE WRAP,5695,2347.9,201,61,15,0.42,2010-09-07 10:59:00,2011-11-27 11:22:00,28.333333333333332,0.011914542472134462,88.63258095031308
72799E,IVORY PILLAR CANDLE SILVER FLOCK,1001,2347.88,161,65,4,2.95,2009-12-11 12:45:00,2011-11-30 15:13:00,6.217391304347826,0.011914440981078862,88.64449539129416
21540,DAIRY MAID CERAMIC BUTTER DISH,1312,2343.8,80,34,2,4.25,2009-12-10 13:27:00,2010-09-09 15:44:00,16.4,0.01189373680573651,88.65638912809989
84459B,YELLOW METAL CHICKEN HEART,1475,2341.77,213,54,5,1.49,2009-12-07 11:46:00,2011-04-07 19:05:00,6.924882629107981,0.011883435463593134,88.66827256356348
21873,IF YOU CAN'T STAND THE HEAT MUG,2000,2339.21,190,80,5,1.25,2009-12-08 14:56:00,2011-12-01 18:43:00,10.526315789473685,0.011870444608476364,88.68014300817195
23367,SET 12 COLOUR PENCILS SPACEBOY,3072,2336.3,262,11,12,0.65,2011-09-22 11:46:00,2011-12-04 13:45:00,11.725190839694656,0.011855677659886599,88.69199868583183
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,571,2335.19,96,28,8,4.15,2011-04-28 13:35:00,2011-12-04 12:32:00,5.947916666666667,0.011850044906300811,88.70384873073813
85035A,GARDENIA 3 WICK MORRIS BOXED CANDLE,643,2332.15,176,66,8,4.25,2009-12-07 10:51:00,2011-10-26 16:43:00,3.653409090909091,0.011834618265849646,88.71568334900398
47570,ENGLISH ROSE TABLE CLOTH,217,2330.01,75,20,5,10.65,2009-12-13 16:03:00,2010-04-26 14:22:00,2.8933333333333335,0.011823758722900472,88.72750710772688
22566,FELTCRAFT HAIRBAND PINK AND PURPLE,2793,2327.91,284,77,7,0.85,2010-03-10 12:39:00,2011-12-02 12:59:00,9.834507042253522,0.011813102162062496,88.73932020988894
23436,VINTAGE CHRISTMAS GIFT BAG LARGE,1956,2327.75,109,17,6,1.25,2011-08-02 14:04:00,2011-12-01 16:22:00,17.94495412844037,0.011812290233617698,88.75113250012257
21809,CHRISTMAS HANGING TREE WITH BELL,2914,2327.38,194,43,6,1.25,2009-12-08 11:46:00,2011-11-28 15:54:00,15.02061855670103,0.011810412649089101,88.76294291277165
21823,PAINTED METAL HEART WITH HOLLY BELL,2385,2324.19,206,46,3,1.45,2009-12-08 13:27:00,2011-11-15 12:02:00,11.577669902912621,0.011794224825720939,88.77473713759737
90062,CARNIVAL BRACELET,183,2323.11,102,47,1,12.75,2009-12-07 18:02:00,2011-04-28 16:21:00,1.7941176470588236,0.011788744308718553,88.78652588190609
21126,SET OF 6 GIRLS CELEBRATION CANDLES,2301,2319.22,276,93,14,1.25,2009-12-09 09:42:00,2011-12-02 16:39:00,8.33695652173913,0.011769004298404396,88.79829488620449
23437,50'S CHRISTMAS GIFT BAG LARGE,1903,2318.95,122,15,6,1.25,2011-08-22 15:05:00,2011-12-04 13:59:00,15.598360655737705,0.0117676341691538,88.81006252037365
21824,PAINTED METAL STAR WITH HOLLY BELLS,2759,2314.93,207,40,5,1.45,2009-12-09 09:42:00,2011-11-15 12:02:00,13.328502415458937,0.011747234466978246,88.82180975484063
22251,BIRDHOUSE DECORATION MAGIC GARDEN,1869,2312.72,297,81,5,1.25,2009-12-17 17:16:00,2011-12-02 16:39:00,6.292929292929293,0.011736019705334472,88.83354577454597
22421,LIPSTICK PEN FUSCHIA,4648,2310.95,400,79,8,0.42,2010-05-06 14:01:00,2011-12-02 16:39:00,11.62,0.011727037746913893,88.84527281229288
22642,SET OF 4 NAPKIN CHARMS STARS,942,2303.0,135,43,6,2.55,2010-07-18 12:49:00,2011-12-04 15:19:00,6.977777777777778,0.011686695052312988,88.8569595073452
84509B,SET OF 4 FAIRY CAKE PLACEMATS,611,2302.11,185,85,12,3.75,2009-12-07 10:51:00,2011-11-27 15:44:00,3.3027027027027027,0.011682178700338799,88.86864168604554
10133,COLOURING PENCILS BROWN TUBE,3752,2300.16,281,73,8,0.83,2009-12-07 13:17:00,2011-09-07 10:07:00,13.352313167259787,0.011672283322417822,88.88031396936795
21589,SWALLOW GIANT TUBE MATCHES,999,2299.05,78,26,5,2.55,2009-12-07 13:59:00,2010-06-17 10:30:00,12.807692307692308,0.011666650568832036,88.89198061993677
22153,ANGEL DECORATION STARS ON DRESS,5340,2298.78,261,56,6,0.42,2009-12-07 17:56:00,2011-12-04 15:00:00,20.45977011494253,0.011665280439581439,88.90364590037636
22306,SILVER MUG BONE CHINA TREE OF LIFE,1601,2295.0,160,40,9,1.25,2009-12-09 09:51:00,2011-12-02 10:47:00,10.00625,0.011646098630073081,88.91529199900643
22409,MONEY BOX BISCUITS DESIGN,1684,2287.96,162,68,12,1.25,2010-03-26 13:46:00,2011-12-04 14:55:00,10.395061728395062,0.011610373778501965,88.92690237278492
21262,WHITE GOOSE FEATHER CHRISTMAS TREE,589,2287.8700000000003,126,46,7,2.95,2009-12-10 09:49:00,2011-12-04 15:13:00,4.674603174603175,0.011609917068751767,88.93851228985368
22831,WHITE BROCANTE SOAP DISH,776,2286.28,138,48,10,2.95,2010-11-07 14:51:00,2011-12-01 15:11:00,5.6231884057971016,0.011601848529831586,88.95011413838351
22742,MAKE YOUR OWN PLAYTIME CARD KIT,766,2283.86,168,58,10,2.95,2010-08-10 17:02:00,2011-12-02 15:39:00,4.559523809523809,0.011589568112104012,88.96170370649561
22363,GLASS JAR MARMALADE,776,2282.96,164,76,9,2.95,2010-03-15 13:06:00,2011-12-02 16:39:00,4.7317073170731705,0.011585001014602024,88.97328870751022
23360,SET 8 CANDLES VINTAGE DOILY,1177,2276.65,111,18,6,1.95,2011-08-02 11:33:00,2011-12-02 16:39:00,10.603603603603604,0.011552980586560298,88.98484168809678
23352,ROLL WRAP 50'S RED CHRISTMAS,1688,2272.01,191,17,6,1.25,2011-08-04 16:17:00,2011-12-04 14:15:00,8.837696335078535,0.011529434661661153,88.99637112275845
85106,CUT GLASS HEXAGON T-LIGHT HOLDER,1190,2271.24,59,34,1,2.55,2009-12-08 15:12:00,2011-11-28 13:37:00,20.16949152542373,0.01152552725602056,89.00789665001447
23029,DRAWER KNOB CRACKLE GLAZE GREEN,1326,2261.02,152,25,13,1.65,2011-06-14 13:51:00,2011-12-04 13:59:00,8.723684210526315,0.011473665326609081,89.01937031534108
21947,SET OF 6 HEART CHOPSTICKS,1646,2259.08,288,90,12,1.25,2009-12-07 18:02:00,2011-12-02 16:39:00,5.715277777777778,0.011463820694215903,89.0308341360353
23252,VINTAGE RED ENAMEL TRIM JUG,601,2254.11,136,26,8,3.75,2011-06-12 12:00:00,2011-12-02 13:28:00,4.419117647058823,0.01143860016689936,89.0422727362022
21615,4 LAVENDER BOTANICAL DINNER CANDLES,1152,2252.35,161,49,8,1.25,2009-12-08 16:20:00,2011-12-04 15:00:00,7.15527950310559,0.011429668954006583,89.0537024051562
20668,DISCO BALL CHRISTMAS DECORATION,19182,2249.68,345,72,7,0.12,2009-12-07 11:39:00,2011-12-04 14:45:00,55.6,0.011416119898084012,89.06511852505429
84469,ROSE DES PADDED FLOOR CUSHION,663,2242.46,43,12,4,2.95,2009-12-11 15:40:00,2010-03-24 10:30:00,15.418604651162791,0.011379481627012498,89.0764980066813
23330,DECORATIVE WICKER HEART MEDIUM,1759,2239.59,209,17,4,1.25,2011-08-08 13:53:00,2011-12-04 12:31:00,8.416267942583731,0.011364917660533932,89.08786292434183
22803,IVORY EMBROIDERED QUILT,59,2237.84,36,19,5,39.95,2010-10-22 14:04:00,2011-11-13 14:44:00,1.6388888888888888,0.011356037193168952,89.099218961535
21464,DISCO BALL ROTATOR BATTERY OPERATED,527,2235.75,212,89,6,4.25,2009-12-08 13:28:00,2011-12-01 14:38:00,2.4858490566037736,0.011345431377858777,89.11056439291286
85172,HYACINTH BULB T-LIGHT CANDLES,4191,2235.2,146,70,6,0.42,2009-12-10 17:09:00,2011-11-29 11:48:00,28.705479452054796,0.011342640373829782,89.12190703328669
85034A,3 GARDENIA MORRIS BOXED CANDLES,815,2234.83,130,56,4,4.25,2009-12-08 09:46:00,2011-11-23 09:34:00,6.269230769230769,0.011340762789301188,89.13324779607599
22321,BIRD DECORATION RED RETROSPOT,2402,2231.22,294,94,16,0.85,2009-12-07 10:33:00,2011-11-30 15:13:00,8.170068027210885,0.011322443653765429,89.14457023972976
23265,SET OF 3 WOODEN TREE DECORATIONS,1650,2228.21,274,26,9,1.25,2011-06-09 15:34:00,2011-12-04 16:08:00,6.021897810218978,0.011307169249897666,89.15587740897966
21462,"NURSERY A,B,C PAINTED LETTERS",326,2226.96,160,80,7,6.75,2009-12-11 13:36:00,2011-12-04 15:28:00,2.0375,0.01130082605892268,89.16717823503859
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,1370,2223.12,84,26,6,1.69,2009-12-09 11:40:00,2011-02-11 13:53:00,16.30952380952381,0.011281339776247524,89.17845957481484
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,4929,2222.24,593,100,12,0.42,2009-12-08 15:49:00,2011-12-04 13:00:00,8.311973018549747,0.011276874169801134,89.18973644898463
23371,SET 36 COLOUR PENCILS SPACEBOY,1648,2221.43,169,11,10,1.25,2011-09-22 12:02:00,2011-12-04 13:59:00,9.751479289940828,0.011272763782049344,89.20100921276668
21476,STEEL SWEETHEART ROUND TABLE CREAM,142,2219.5099999999998,85,41,4,14.95,2010-01-19 10:01:00,2011-10-19 13:58:00,1.6705882352941177,0.011263020640711765,89.21227223340739
22133,PINK LOVE HEART SHAPE CUP,2420,2213.63,315,98,12,0.85,2009-12-07 13:48:00,2011-12-01 16:22:00,7.682539682539683,0.011233182270365436,89.22350541567775
22973,CHILDREN'S CIRCUS PARADE MUG,1297,2211.77,151,50,8,1.65,2010-11-23 17:53:00,2011-12-04 12:08:00,8.589403973509933,0.011223743602194658,89.23472915927995
84913A,SOFT PINK ROSE TOWEL,608,2211.54,266,76,6,3.36,2009-12-09 09:42:00,2011-11-07 16:16:00,2.2857142857142856,0.01122257645505526,89.245951735735
37502,TEA TIME MUG IN GIFT BOX,727,2209.88,161,30,8,2.95,2009-12-07 12:26:00,2010-07-30 16:50:00,4.515527950310559,0.01121415269744048,89.25716588843244
22024,RAINY LADIES BIRTHDAY CARD,5283,2206.66,423,95,11,0.42,2009-12-08 12:05:00,2011-12-02 16:39:00,12.48936170212766,0.011197812637488917,89.26836370106993
22539,MINI JIGSAW DOLLY GIRL,5308,2200.47,239,79,17,0.42,2010-03-26 11:21:00,2011-12-02 16:39:00,22.209205020920503,0.011166401155780789,89.2795301022257
20931,BLUE POT PLANT CANDLE,656,2198.19,151,71,6,3.75,2009-12-07 16:40:00,2011-12-02 16:39:00,4.344370860927152,0.011154831175442418,89.29068493340115
21696,SMALL SILVER TRELLIS CANDLEPOT,731,2198.0400000000004,105,60,5,2.95,2009-12-07 11:05:00,2011-11-23 14:35:00,6.961904761904762,0.01115406999252542,89.30183900339368
21125,SET 6 FOOTBALL CELEBRATION CANDLES,2113,2195.25,241,88,15,1.25,2009-12-09 11:58:00,2011-12-02 14:26:00,8.767634854771785,0.011139911990269251,89.31297891538395
23093,SMALL PARISIENNE HEART PHOTO FRAME,930,2194.6000000000004,138,30,3,2.49,2011-05-11 12:32:00,2011-12-02 11:16:00,6.739130434782608,0.01113661353096226,89.32411552891492
21187,WHITE BELL HONEYCOMB PAPER GARLAND,1314,2194.2799999999997,138,57,3,1.65,2009-12-07 16:40:00,2011-08-04 16:32:00,9.521739130434783,0.011134989674072662,89.33525051858899
51014L,"FEATHER PEN,LIGHT PINK",3411,2193.6499999999996,222,79,10,0.83,2009-12-09 10:46:00,2011-12-04 14:15:00,15.364864864864865,0.01113179270582127,89.34638231129482
22246,MAGIC GARDEN FELT GARLAND,1038,2192.35,181,72,4,1.95,2009-12-13 12:19:00,2011-11-24 09:50:00,5.734806629834254,0.011125195787207286,89.35750750708202
21708,FOLDING UMBRELLA CREAM POLKADOT,583,2187.4300000000003,122,63,7,4.95,2009-12-09 09:51:00,2011-11-28 11:00:00,4.778688524590164,0.011100228987529746,89.36860773606955
23326,HANGING MINI COLOURED BOTTLES,3386,2186.48,72,16,7,0.63,2011-08-11 12:53:00,2011-12-02 11:53:00,47.02777777777778,0.011095408162388755,89.37970314423194
85199L,LARGE HANGING IVORY & RED WOOD BIRD,3310,2186.2200000000003,263,90,9,0.65,2009-12-07 17:56:00,2011-11-29 15:06:00,12.585551330798479,0.011094088778665958,89.3907972330106
85176,SEWING SUSAN 21 NEEDLE SET,2633,2181.92,291,91,8,0.85,2009-12-08 12:38:00,2011-12-02 16:39:00,9.048109965635739,0.011072268201712008,89.40186950121232
23079,TOADSTOOL BEDSIDE LIGHT,246,2180.7,102,29,8,8.95,2011-05-11 13:20:00,2011-12-04 13:32:00,2.411764705882353,0.011066077247320422,89.41293557845964
21819,GLITTER CHRISTMAS STAR,3722,2179.99,234,41,6,0.85,2009-12-08 10:02:00,2011-12-04 14:55:00,15.905982905982906,0.011062474314846629,89.42399805277448
22711,WRAP CIRCUS PARADE,5302,2178.84,179,69,10,0.42,2010-05-27 18:13:00,2011-12-01 10:31:00,29.620111731843576,0.011056638579149644,89.43505469135363
22716,CARD CIRCUS PARADE,5148,2177.91,438,76,17,0.42,2010-06-01 13:49:00,2011-12-02 16:39:00,11.753424657534246,0.011051919245064256,89.44610661059869
23128,FELTCRAFT BOY JEAN-PAUL KIT,434,2177.6800000000003,133,38,11,4.95,2011-03-03 13:45:00,2011-12-04 15:00:00,3.263157894736842,0.01105075209792486,89.45715736269662
22286,"DECORATION , WOBBLY RABBIT , METAL",1924,2177.52,193,53,3,1.65,2009-12-21 17:14:00,2011-12-01 12:01:00,9.968911917098445,0.01104994016948006,89.4682073028661
20658,RED SPOTTY LUGGAGE TAG,1530,2177.2599999999998,342,86,9,1.25,2009-12-07 10:51:00,2011-09-26 13:57:00,4.473684210526316,0.011048620785757262,89.47925592365186
21741,COSY SLIPPER SHOES LARGE GREEN,668,2174.7700000000004,179,62,8,2.95,2009-12-07 15:42:00,2011-11-16 12:08:00,3.7318435754189943,0.011035985149335095,89.4902919088012
15056n,EDWARDIAN PARASOL NATURAL,173,2170.4,116,52,1,12.46,2010-06-08 15:24:00,2011-11-30 14:11:00,1.4913793103448276,0.011013809353686543,89.50130571815488
84691,PACK 20 DOLLY PEGS,2686,2170.25,225,38,9,0.85,2009-12-07 13:48:00,2011-05-31 09:38:00,11.937777777777777,0.011013048170769545,89.51231876632565
22920,HERB MARKER BASIL,3436,2166.9900000000002,243,48,8,0.65,2010-11-21 16:11:00,2011-12-02 17:04:00,14.139917695473251,0.010996505128706785,89.52331527145435
23020,GLASS  SONGBIRD STORAGE JAR,178,2166.84,74,25,12,12.5,2011-06-14 13:40:00,2011-12-04 16:02:00,2.4054054054054053,0.010995743945789786,89.53431101540014
85116,BLACK CANDELABRA T-LIGHT HOLDER,1794,2166.34,175,75,6,1.66,2009-12-07 13:59:00,2011-10-14 11:08:00,10.251428571428571,0.010993206669399791,89.54530422206953
85045,GREEN CHRISTMAS TREE STRING 20LIGHT,457,2163.73,77,28,3,4.95,2009-12-07 08:24:00,2011-11-02 12:45:00,5.935064935064935,0.010979962086644021,89.55628418415618
85107,CUT GLASS T-LIGHT HOLDER OCTAGON,1143,2163.07,66,41,1,2.55,2009-12-11 12:55:00,2011-11-28 13:37:00,17.318181818181817,0.01097661288180923,89.56726079703799
22514,CHILDS GARDEN SPADE BLUE,1072,2161.6200000000003,228,71,7,2.1,2010-03-28 11:30:00,2011-12-02 16:39:00,4.701754385964913,0.010969254780278248,89.57823005181827
21826,EIGHT PIECE DINOSAUR SET,1670,2157.77,229,60,5,1.25,2009-12-07 11:39:00,2011-03-16 13:00:00,7.292576419213974,0.010949717752075292,89.58917976957034
22453,MEASURING TAPE BABUSHKA BLUE,782,2156.8700000000003,141,58,14,2.95,2010-03-21 14:16:00,2011-12-01 13:47:00,5.546099290780142,0.010945150654573303,89.60012492022491
21651,HANGING GLASS ETCHED TEALIGHT,1333,2154.16,121,49,7,1.65,2009-12-11 10:54:00,2011-02-21 13:51:00,11.016528925619834,0.010931398616539533,89.61105631884145
22824,3 TIER SWEETHEART GARDEN SHELF,61,2153.9500000000003,48,31,4,35.95,2010-11-07 14:17:00,2011-11-23 08:17:00,1.2708333333333333,0.010930332960455738,89.6219866518019
23197,SKETCHBOOK MAGNETIC SHOPPING LIST,1392,2147.52,233,24,9,1.45,2011-06-23 11:51:00,2011-12-04 12:32:00,5.9742489270386265,0.010897703586080412,89.63288435538799
35001G,HAND OPEN SHAPE GOLD,678,2144.9,97,53,5,4.25,2009-12-10 15:35:00,2011-12-04 15:00:00,6.989690721649485,0.010884408257796843,89.64376876364578
22677,FRENCH BLUE METAL DOOR SIGN 2,1583,2143.03,280,63,8,1.25,2010-08-17 11:21:00,2011-12-02 17:12:00,5.6535714285714285,0.010874918844098266,89.65464368248988
22714,CARD BIRTHDAY COWBOY,5247,2142.85,354,78,15,0.42,2010-05-28 16:36:00,2011-12-02 16:39:00,14.822033898305085,0.010874005424597866,89.66551768791447
22853,CAT BOWL VINTAGE CREAM,628,2140.18,142,53,8,3.25,2010-10-15 11:47:00,2011-12-04 11:56:00,4.422535211267606,0.010860456368675296,89.67637814428315
23066,SMALL DECO JEWELLERY STAND,259,2137.81,85,24,5,8.25,2011-04-18 14:01:00,2011-10-13 14:33:00,3.0470588235294116,0.010848429678586725,89.68722657396174
